Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Date City Check Released,Record ID#,Invoice Amount
N. Galvez  St (Elysian Fields Ave  - Almonaster Ave ),"Gulf South Engineering & Testing, Inc.",Testing,no,City Only,03 Department to Create Receiver,3 Department to Create Receiver,03 Fiscal to Send to D-CDBG Project Manager,02-04-2017,02-17-2017,02-22-2017,02-22-2017,,,,,,21420,"$3,636.05"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),"Design Engineering, Inc",Architect/Engineer,no,City Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,11-30-2016,02-22-2017,02-22-2017,,,,,,,21425,"$27,734.77"
Lakeview Modeling & Hydraulic Study,Spackman Mossop Michael,Architect/Engineer,no,City Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,01-31-2017,02-07-2017,02-22-2017,,,,,,,21427,"$17,033.2"
"Johnson St (Jefferson - Claiborne), Melodia (Claiborne - S. Johnson)","Roubion Roads & Streets, L.L.C.",General Contractor,no,City Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,02-17-2017,02-28-2017,02-21-2017,,,,,,,21416,"$195,311.07"
City Park Parking Lots Improvements (Marconi - Stadium Dr.),Urban Systems,Architect/Engineer,no,City Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,01-31-2017,02-09-2017,02-20-2017,,,,,,,21402,"$3,740.93"
S. Dupre (Canal - Tulane) and Gayoso (Canal - Banks),"CDM Smith, Inc.",Architect/Engineer,no,City Only,03 Department to Create Receiver,3 Department to Create Receiver,03 Fiscal to Send to D-CDBG Project Manager,04-30-2016,02-17-2017,02-17-2017,02-21-2017,,,,,,21401,"$127,080"
St. Charles Ave (Calliope St - Louisiana Ave),Boh Brother Construction Company,General Contractor,no,City Only,03 Department to Create Receiver,3 Department to Create Receiver,03 Fiscal to Send to D-CDBG Project Manager,02-13-2017,02-13-2017,02-16-2017,02-16-2017,,,,,,21370,"$660,146.19"
Gravier St (Galvez - Broad),ECM Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,02-06-2017,02-16-2017,02-16-2017,02-20-2017,02-21-2017,02-21-2017,,,21371,"$11,719.62"
Aubry St. (Broad - Gentilly),Hard Rock Construction,General Contractor,no,City Only,04 Department to Deliver to Finance,4 Department to Deliver to Finance,03 Fiscal to Send to D-CDBG Project Manager,01-31-2017,02-02-2017,02-16-2017,02-17-2017,02-22-2017,,,,,21390,"$259,645.39"
Canal Blvd. Reconstruction (Robert E. Lee Blvd - Amethyst St.),Integrated Logistical Support,Architect/Engineer,no,City Only,03 Department to Create Receiver,3 Department to Create Receiver,03 Fiscal to Send to D-CDBG Project Manager,01-31-2017,02-07-2017,02-16-2017,02-17-2017,,,,,,21392,"$21,931.7"
Marconi Dr. (City Park - I-610),HNTB Corporation,Architect/Engineer,no,City Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,12-31-2007,02-03-2017,02-16-2017,,,,,,,21421,"$8,382.19"
Martin Luther King Blvd (St. Charles - S. Claiborne),HNTB Corporation,Architect/Engineer,no,City Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,01-27-2017,02-03-2017,02-16-2017,,,,,,,21422,"$7,292.51"
"Johnson St (Jefferson - Claiborne), Melodia (Claiborne - S. Johnson)",Richard C. Lambert,Architect/Engineer,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,02-07-2017,02-07-2017,02-15-2017,02-16-2017,02-17-2017,02-21-2017,02-21-2017,,,21365,"$11,000"
Jackson Ave (Claiborne Ave - Galvez St),Richard C. Lambert,Architect/Engineer,no,City Only,03 Department to Create Receiver,3 Department to Create Receiver,03 Fiscal to Send to D-CDBG Project Manager,02-07-2017,02-16-2017,02-15-2017,02-16-2017,,,,,,21366,"$2,197.45"
Recovery Program - Florida Area/Florida Development,Stantec Consulting Services,Architect/Engineer,no,City Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,02-14-2017,02-14-2017,02-15-2017,,,,,,,21367,"$107,001.11"
2017 Street Light Maintenance Repairs,"All Star Electric, INC",General Contractor,no,City Only,03 Department to Create Receiver,3 Department to Create Receiver,03 Fiscal to Send to D-CDBG Project Manager,10-24-2016,02-09-2014,02-14-2017,02-16-2017,,,,,,21356,"$58,815.49"
N. Galvez  St (Elysian Fields Ave  - Almonaster Ave ),Durr Heavy Construction,General Contractor,no,City Only,Invoice on Hold,Invoice on Hold,Invoice on Hold,01-25-2017,02-15-2017,02-14-2017,02-15-2017,,,,,,21359,"$360,691.69"
2017 Street Light Maintenance Repairs,"All Star Electric, INC",General Contractor,no,City Only,03 Department to Create Receiver,3 Department to Create Receiver,03 Fiscal to Send to D-CDBG Project Manager,09-29-2016,02-09-2017,02-14-2017,02-16-2017,,,,,,21368,"$104,074.5"
2017 Street Light Maintenance Repairs,"All Star Electric, INC",General Contractor,no,City Only,03 Department to Create Receiver,3 Department to Create Receiver,03 Fiscal to Send to D-CDBG Project Manager,10-27-2016,02-09-2017,02-14-2017,02-16-2017,,,,,,21369,"$202,388.32"
Canal St. / Rivergate Tunnel,Mott MacDonald LLC,Architect/Engineer,no,City Only,Invoice on Hold,Invoice on Hold,Invoice on Hold,02-03-2017,02-10-2017,02-13-2017,02-14-2017,,,,,,21354,"$57,440"
Recovery Program - Lakeview Quadrant 1 (Pavement Only),Durr Heavy Construction,General Contractor,no,City Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,06-30-2016,02-24-2017,02-10-2017,,,,,,,21342,"$239,761.08"
Recovery Program - Lakeview Quadrant 1 (Pavement Only),Durr Heavy Construction,General Contractor,no,City Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,06-30-2016,02-24-2017,02-10-2017,,,,,,,21343,"$7,531.7"
2017 Street Light Maintenance Repairs,"All Star Electric, INC",General Contractor,no,City Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,08-15-2016,02-22-2017,02-10-2017,,,,,,,21349,"$80,670.11"
"Banks, DeSaix and Elk Bike Facilities","Pavement Markings, LLC",Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-31-2017,02-08-2017,02-09-2017,02-10-2017,02-10-2017,02-14-2017,02-14-2017,02-17-2017,02-17-2017,21344,"$14,191.6"
Lake Forest Blvd. Widening (Eastover Dr - I-510),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,01-31-2016,02-07-2016,02-09-2017,02-16-2017,02-16-2017,02-17-2017,02-17-2017,,,21345,"$263,033.35"
"Homedale (Canal - West End), Center (33rd - Tacoma), Milne (Homedale - Florida), Walker (Marshal-Orl",Integrated Management Services,Architect/Engineer,no,City Only,Invoice on Hold,Invoice on Hold,Invoice on Hold,01-31-2016,02-06-2017,02-09-2017,02-22-2017,,,,,,21348,"$2,859.24"
2017 Street Light Maintenance Repairs,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,10-06-2016,02-08-2017,02-08-2017,02-08-2017,02-10-2017,02-10-2017,02-10-2017,,,21239,"$85,120.76"
St. Charles Ave (Napoleon - Louisiana),"Linfield, Hunter & Junius",Architect/Engineer,no,City Only,03 Department to Create Receiver,3 Department to Create Receiver,03 Fiscal to Send to D-CDBG Project Manager,02-03-2017,02-03-2017,02-08-2017,02-14-2017,,,,,,21329,"$3,595.6"
N. Galvez St (Tennessee St  - Delery St),Command Construction,General Contractor,no,City Only,Invoice on Hold,Invoice on Hold,Invoice on Hold,12-08-2016,01-31-2017,02-08-2017,02-10-2017,,,,,,21333,"$454,717.04"
Pedestrian Crossing/Local Road Safety Program (Phase I & II),Digital Engineering and Imaging,Architect/Engineer,no,City Only,03 Department to Create Receiver,3 Department to Create Receiver,03 Fiscal to Send to D-CDBG Project Manager,01-28-2017,01-31-2017,02-07-2017,02-07-2017,,,,,,21315,"$7,510"
Gravier St (Galvez - Broad),"Terracon Consultants, Inc",Testing,no,City Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,01-21-2017,01-31-2017,02-03-2017,,,,,,,21309,"$2,828.65"
Lake Forest Blvd. Widening (Eastover Dr - I-510),"Design Engineering, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,12-16-2017,01-30-2017,02-02-2017,02-14-2017,02-14-2017,02-21-2017,02-21-2017,,,21305,"$32,247.99"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,01-15-2017,01-30-2017,02-02-2017,02-06-2017,02-17-2017,02-17-2017,02-17-2017,,,21306,"$336,480.73"
Joe W. Brown Park Bridge,Infinity Engineering Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,07-30-2016,01-19-2017,01-31-2017,02-01-2017,02-03-2017,02-07-2017,02-07-2017,02-10-2017,02-10-2017,21289,"$5,432"
Gravier St (Galvez - Broad),Wallace C. Drennan Construction Co.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,01-25-2017,01-31-2017,02-01-2017,02-02-2017,02-07-2017,02-07-2017,02-15-2017,02-15-2017,21293,"$497,808.72"
"Johnson St (Jefferson - Claiborne), Melodia (Claiborne - S. Johnson)","Roubion Roads & Streets, L.L.C.",General Contractor,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,01-12-2017,01-17-2017,01-31-2017,02-15-2017,02-16-2017,02-17-2017,02-17-2017,,,21294,"$73,140.98"
Fleur de Lis Phase III (30th - Hammond Hwy),ECM Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,01-12-2017,01-27-2017,01-27-2017,01-27-2017,02-02-2017,02-02-2017,,,21277,"$12,083"
Canal St. / Rivergate Tunnel,Eustis Engineering,Testing,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,01-27-2017,01-27-2017,01-27-2017,01-27-2017,02-03-2017,02-07-2017,02-07-2017,,,21283,"$1,798"
N. Galvez  St (Elysian Fields Ave  - Almonaster Ave ),Durr Heavy Construction,General Contractor,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,01-15-2017,01-15-2017,01-26-2017,01-26-2017,02-03-2017,02-07-2017,02-07-2017,,,21275,"$280,014.56"
Wisner Bridge over I-610,La Department of Transportation,Government,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-18-2017,01-18-2017,01-26-2017,02-01-2017,02-08-2017,02-09-2017,02-09-2017,02-15-2017,02-15-2017,21297,"$250,000"
