Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,Total Invoice Payment Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date Sent to State,Date Sent to Hancock by State,Date Revolver Check Received,Record ID#,Invoice Amount
New Orleans Museum of Art Damage Repairs,"Artex, Inc",Other,no,Revolver Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,02-20-2017,02-20-2017,02-20-2017,02-20-2017,02-23-2017,02-24-2017,02-24-2017,,,,21403,"$158,661.88"
NOPD Training Academy,"Battco Construction & Maintenance, Inc.",General Contractor,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,01-27-2017,02-08-2017,02-08-2017,02-08-2017,02-09-2017,02-16-2017,02-16-2017,02-20-2017,,,21320,"$126,029.85"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Revolver Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,Not Fully Paid,11-25-2016,12-29-2016,01-30-2017,,,,,,,,21312,"$175,313.58"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Revolver Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,Not Fully Paid,12-30-2016,01-11-2017,01-30-2017,,,,,,,,21313,"$128,740.79"
Municipal Yacht Harbor Boat House Repairs,"PSI, Inc.",Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-19-2016,12-19-2016,01-26-2017,01-22-2017,01-31-2017,02-01-2017,02-01-2017,02-01-2017,02-10-2017,02-13-2017,21192,$278.1
New Orleans Museum of Art Damage Repairs,"Artex, Inc",Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-31-2016,01-26-2017,01-26-2017,01-30-2017,01-31-2017,02-03-2017,02-03-2017,02-06-2017,02-17-2017,02-21-2017,21278,"$106,457"
Municipal Auditorium Phase I C - Repairs,"Battco Construction & Maintenance, Inc.",General Contractor,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,12-20-2016,01-20-2017,01-18-2017,02-06-2017,02-07-2017,02-10-2017,02-10-2017,02-14-2017,,,21224,$669.88
Milne Gymnasium Build-Out (NOLA For Life),"Battco Construction & Maintenance, Inc.",General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-13-2017,01-16-2017,01-17-2017,01-17-2017,01-30-2017,02-01-2017,02-01-2017,02-01-2017,02-10-2017,02-13-2017,21199,"$45,853.54"
Municipal Auditorium Phase I C - Repairs,"Battco Construction & Maintenance, Inc.",General Contractor,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,12-20-2016,12-20-2016,01-17-2017,01-15-2017,02-07-2017,02-10-2017,02-10-2017,02-14-2017,,,21203,"$52,375.45"
City Hall/Civil Court MEP Repair / Replacement,"Marrero, Couvillon & Associates, LLC",General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-30-2016,12-31-2016,01-17-2017,01-17-2017,01-18-2017,01-20-2017,01-20-2017,01-31-2017,02-10-2017,02-13-2017,21204,"$13,146.67"
Municipal Yacht Harbor Boat House Repairs,Fidelity & Deposit Company of Maryland,Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-31-2016,01-09-2017,01-13-2017,01-20-2017,01-24-2017,01-30-2017,01-30-2017,02-01-2017,02-10-2017,02-13-2017,21193,"$102,805.64"
Rosenwald Center Phase I - Gymnasium & Grounds,Leaaf Environmental LLC,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-30-2016,01-11-2017,01-13-2017,01-20-2017,01-23-2017,01-23-2017,01-23-2017,01-31-2017,02-10-2017,02-13-2017,21194,"$6,644.42"
DPW Traffic Sign & Signal Shop Demolition,Gordian Group,Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-27-2016,12-31-2016,01-13-2017,01-17-2017,01-18-2017,01-20-2017,01-20-2017,01-31-2017,02-10-2017,02-13-2017,21197,$200.13
Gallier Hall Exterior Facade Repairs (St. Charles),"Markdesign, LLC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-09-2017,01-09-2017,01-09-2017,01-09-2017,01-10-2017,01-13-2017,01-13-2017,01-18-2017,01-27-2017,02-03-2017,21146,"$1,186.94"
Gallier Hall Exterior Facade Repairs (St. Charles),"Markdesign, LLC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-09-2017,01-09-2017,01-09-2017,01-18-2017,01-18-2017,01-20-2017,01-20-2017,01-31-2017,02-10-2017,02-13-2017,21147,$686.8
New Orleans Museum of Art Damage Repairs,"Eskew, Dumez & Ripple",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-31-2016,12-31-2016,01-09-2017,01-10-2017,01-10-2017,01-13-2017,01-13-2017,01-18-2017,01-27-2017,02-03-2017,21154,"$36,154.44"
Parks & Parkways Phase III - Multiple Buildings,CDW Services,General Contractor,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,12-30-2016,12-30-2016,01-05-2017,01-20-2017,01-23-2017,02-08-2017,02-08-2017,02-14-2017,,,21136,"$51,573.92"
Parks & Parkways Phase III - Multiple Buildings,CDW Services,General Contractor,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,12-30-2016,12-30-2016,01-05-2017,01-20-2017,01-23-2017,02-08-2017,02-08-2017,02-14-2017,,,21137,"$16,739"
New Orleans Museum of Art Damage Repairs,"Artex, Inc",Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-07-2016,12-07-2016,01-03-2017,01-03-2017,01-05-2017,01-11-2017,01-11-2017,01-12-2017,01-20-2017,01-23-2017,21123,"$171,969"
DPW Traffic Sign & Signal Shop Demolition,Big Yellow Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-22-2016,11-22-2016,01-03-2017,01-04-2017,01-19-2017,01-20-2017,01-20-2017,01-31-2017,02-10-2017,02-13-2017,21131,"$10,262.9"
Allie Mae Williams Multi-Service Center (Daycare/CCEOC Building Upgrades & HVAC Replacements),"VergesRome Architects, APAC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-15-2016,12-15-2016,12-16-2016,12-16-2016,12-19-2016,12-27-2016,12-27-2016,01-05-2017,01-09-2017,01-13-2017,21050,"$72,596.07"
Algiers Courthouse Restoration Ph. II - Structural Repairs,"Linfield, Hunter & Junius",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-26-2016,12-07-2016,12-16-2016,12-16-2016,12-20-2016,12-27-2016,12-27-2016,01-05-2017,01-13-2017,01-13-2017,21055,$97.58
Algiers Courthouse Restoration Ph. II - Structural Repairs,"Linfield, Hunter & Junius",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-26-2016,12-07-2016,12-16-2016,12-16-2016,12-20-2016,12-27-2016,12-27-2016,01-05-2017,01-13-2017,01-13-2017,21056,$975
